AccX,AccY,AccZ,GyrX,GyrY,GyrZ,EulerX,EulerY,EulerZ,Task ID,Trial ID,Description
-0.05,-0.889,-0.137,37.0130868,9.6829902,4.4117766,60.92835372,0.24064236,-25.17577452,20,2,Forward fall when trying to sit down
-0.047,-0.894,-0.124,39.534102,9.5683986,7.5630456,61.32942432,0.22345362,-25.05545334,20,2,Forward fall when trying to sit down
-0.024,-0.919,-0.125,41.5967508,9.167328,9.6256944,61.74768366,0.18334656,-24.923673,20,2,Forward fall when trying to sit down
0.006,-0.954,-0.127,41.9978214,8.0787078,11.745639,62.17740216,0.12032118,-24.79762224,20,2,Forward fall when trying to sit down
0.016,-0.958,-0.095,43.2010332,7.5630456,13.6364004,62.61285024,0.04010706,-24.66011232,20,2,Forward fall when trying to sit down
0.006,-0.936,-0.056,45.1490904,7.3338624,14.32395,63.11705328,-0.05156622,-24.51687282,20,2,Forward fall when trying to sit down
-0.009,-0.929,-0.048,45.4928652,9.3392154,14.8396122,63.57541968,-0.13750992,-24.36790374,20,2,Forward fall when trying to sit down
-0.019,-0.941,-0.057,45.7793442,11.4018642,14.8396122,64.03951566,-0.21772404,-24.19601634,20,2,Forward fall when trying to sit down
-0.026,-0.958,-0.033,45.8939358,11.745639,14.32395,64.50361164,-0.29220858,-24.02412894,20,2,Forward fall when trying to sit down
-0.036,-0.95,-0.002,46.9252602,11.3445684,14.7823164,64.9734372,-0.37815228,-23.85797112,20,2,Forward fall when trying to sit down
-0.039,-0.95,0.014,45.550161,9.0527364,16.329303,65.48336982,-0.49274388,-23.6918133,20,2,Forward fall when trying to sit down
-0.028,-0.957,0.015,43.1437374,7.9068204,17.8189938,65.9188179,-0.61879464,-23.54284422,20,2,Forward fall when trying to sit down
-0.021,-0.946,0.033,40.7373138,5.9014674,19.0222056,66.33134766,-0.76776372,-23.41106388,20,2,Forward fall when trying to sit down
-0.026,-0.916,0.058,37.1849742,2.291832,19.480572,66.70949994,-0.93392154,-23.30793144,20,2,Forward fall when trying to sit down
-0.041,-0.883,0.069,32.0283522,-2.0626488,18.8503182,67.03035642,-1.10580894,-23.25063564,20,2,Forward fall when trying to sit down
-0.066,-0.822,0.073,28.6479,-6.1879464,17.0168526,67.37413122,-1.30061466,-23.22771732,20,2,Forward fall when trying to sit down
-0.095,-0.791,0.094,29.0489706,-9.167328,13.8082878,67.67206938,-1.45531332,-23.25636522,20,2,Forward fall when trying to sit down
-0.099,-0.801,0.055,27.4446882,-9.7975818,10.4851314,67.9528188,-1.58709366,-23.30793144,20,2,Forward fall when trying to sit down
-0.068,-0.86,0.011,29.4500412,-3.6669312,9.3965112,68.25075696,-1.67876694,-23.30793144,20,2,Forward fall when trying to sit down
-0.036,-0.973,-0.07,23.204799,2.2345362,10.5424272,68.48566974,-1.77044022,-23.24490606,20,2,Forward fall when trying to sit down
-0.009,-1.018,-0.136,17.1314442,6.4171296,13.750992,68.69193462,-1.86784308,-23.13031446,20,2,Forward fall when trying to sit down
0.022,-1.013,-0.12,26.9863218,5.0420304,16.615782,68.96695446,-2.005353,-23.02145244,20,2,Forward fall when trying to sit down
0.029,-1.078,-0.161,29.6792244,-2.7501984,15.9855282,69.26489262,-2.15432208,-22.98707496,20,2,Forward fall when trying to sit down
0.015,-1.025,-0.181,19.1367972,-5.6722842,13.8082878,69.45969834,-2.30329116,-22.99280454,20,2,Forward fall when trying to sit down
-0.022,-0.903,-0.118,20.9702628,-6.5317212,10.0840608,69.67742238,-2.41215318,-23.01572286,20,2,Forward fall when trying to sit down
-0.079,-0.926,-0.115,22.058883,-6.0733548,8.4797784,69.96390138,-2.53820394,-23.02718202,20,2,Forward fall when trying to sit down
-0.099,-0.884,-0.112,2.8074942,1.3178034,7.3911582,69.99254928,-2.60122932,-22.99280454,20,2,Forward fall when trying to sit down
-0.103,-0.829,-0.075,-0.7448454,6.9327918,4.4690724,69.98109012,-2.62414764,-22.91259042,20,2,Forward fall when trying to sit down
-0.109,-0.825,-0.107,-13.8082878,11.6883432,1.8334656,69.83212104,-2.6069589,-22.79799882,20,2,Forward fall when trying to sit down
-0.109,-0.779,-0.228,-32.3148312,17.5325148,-0.2291832,69.49407582,-2.5496631,-22.631841,20,2,Forward fall when trying to sit down
-0.102,-0.665,-0.335,-43.7166954,22.1161788,-1.432395,69.02425026,-2.47517856,-22.43703528,20,2,Forward fall when trying to sit down
-0.113,-0.557,-0.385,-52.712136,21.3140376,-2.8074942,68.47994016,-2.38350528,-22.24795914,20,2,Forward fall when trying to sit down
-0.101,-0.467,-0.471,-68.468481,21.772404,-5.156622,67.77520182,-2.26891368,-22.07034216,20,2,Forward fall when trying to sit down
-0.021,-0.382,-0.572,-90.6992514,23.777757,-7.8495246,66.84700986,-2.12567418,-21.8869956,20,2,Forward fall when trying to sit down
0.059,-0.354,-0.614,-100.1530584,21.9442914,-10.2559482,65.82141504,-1.95951636,-21.73802652,20,2,Forward fall when trying to sit down
0.126,-0.311,-0.598,-106.7420754,19.3659804,-11.4018642,64.70414694,-1.78189938,-21.61770534,20,2,Forward fall when trying to sit down
0.145,-0.338,-0.566,-118.315827,17.9335854,-11.2299768,63.49520556,-1.62147114,-21.5145729,20,2,Forward fall when trying to sit down
0.124,-0.358,-0.585,-129.1447332,15.6417534,-9.6256944,62.18313174,-1.48396122,-21.4286292,20,2,Forward fall when trying to sit down
0.157,-0.359,-0.527,-133.5565098,13.2926256,-7.448454,60.8194917,-1.38082878,-21.35414466,20,2,Forward fall when trying to sit down
0.158,-0.381,-0.495,-137.6245116,12.2040054,-6.1879464,59.42147418,-1.28342592,-21.2853897,20,2,Forward fall when trying to sit down
0.123,-0.442,-0.321,-142.8384294,10.6570188,-5.7868758,57.96616086,-1.19175264,-21.23382348,20,2,Forward fall when trying to sit down
0.104,-0.528,-0.291,-159.9698736,8.880849,-6.1879464,56.33896014,-1.1172681,-21.199446,20,2,Forward fall when trying to sit down
0.097,-0.547,-0.318,-170.168526,3.8961144,-8.5370742,54.61435656,-1.04851314,-21.22236432,20,2,Forward fall when trying to sit down
0.12,-0.545,-0.33,-174.6375984,-1.432395,-11.6310474,52.84391634,-0.98548776,-21.3140376,20,2,Forward fall when trying to sit down
0.138,-0.488,-0.333,-180.3671784,-4.583664,-15.183387,51.01618032,-0.9167328,-21.45154752,20,2,Forward fall when trying to sit down
0.127,-0.491,-0.366,-186.1540542,-11.1153852,-16.5584862,49.1311485,-0.87662574,-21.65208282,20,2,Forward fall when trying to sit down
0.144,-0.435,-0.428,-195.7797486,-15.4125702,-17.3606274,47.14871382,-0.87662574,-21.8869956,20,2,Forward fall when trying to sit down
0.158,-0.302,-0.524,-198.9883134,-21.0275586,-16.8449652,45.13763124,-0.92246238,-22.16201544,20,2,Forward fall when trying to sit down
0.132,-0.19,-0.646,-198.4153554,-27.5592798,-13.0634424,43.13227824,-1.04851314,-22.45422402,20,2,Forward fall when trying to sit down
0.085,-0.13,-0.664,-202.4260614,-30.2521824,-5.3285094,41.08681818,-1.25477802,-22.70632554,20,2,Forward fall when trying to sit down
0.137,-0.138,-0.722,-208.7858952,-32.2575354,0.859437,38.961144,-1.52406828,-22.91259042,20,2,Forward fall when trying to sit down
0.174,-0.149,-0.654,-213.999813,-35.0650296,5.8441716,36.80109234,-1.85638392,-23.0902074,20,2,Forward fall when trying to sit down
0.122,-0.236,-0.645,-221.161788,-36.382833,10.886202,34.56082656,-2.2345362,-23.22198774,20,2,Forward fall when trying to sit down
-0.001,-0.314,-0.717,-235.8868086,-38.101707,15.1260912,32.17732128,-2.65852512,-23.31366102,20,2,Forward fall when trying to sit down
-0.121,-0.393,-0.763,-249.9815754,-38.1590028,14.6677248,29.6505765,-3.08824362,-23.38814556,20,2,Forward fall when trying to sit down
-0.237,-0.473,-0.878,-269.9205138,-34.4920716,10.0840608,26.92329642,-3.47785506,-23.4626301,20,2,Forward fall when trying to sit down
-0.268,-0.642,-1.345,-291.7502136,-26.8717302,2.3491278,23.97256272,-3.76433406,-23.55430338,20,2,Forward fall when trying to sit down
-0.399,-0.771,-2.094,-320.283522,-13.0061466,-5.72958,20.72962044,-3.90184398,-23.65170624,20,2,Forward fall when trying to sit down
-0.501,-0.566,-2.26,-323.2056078,-4.9847346,-5.6149884,17.45230068,-3.97632852,-23.70900204,20,2,Forward fall when trying to sit down
-0.064,-0.061,-2.559,-340.7381226,2.0626488,-1.3178034,13.99163436,-3.99351726,-23.70327246,20,2,Forward fall when trying to sit down
-0.164,0.24,-2.823,-357.239313,7.0473834,9.2246238,10.35908064,-3.99351726,-23.5772217,20,2,Forward fall when trying to sit down
0.093,0.116,-2.839,-362.5105266,6.4171296,18.907614,6.66350154,-4.00497642,-23.35376808,20,2,Forward fall when trying to sit down
0.18,0.155,-3.288,-355.9215096,9.5111028,22.345362,3.03094782,-3.97059894,-23.09593698,20,2,Forward fall when trying to sit down
0.02,0.323,-3.478,-335.18043,16.042824,32.8877892,-0.38961144,-3.86173692,-22.73497344,20,2,Forward fall when trying to sit down
-0.44,0.52,-2.35,-315.3560832,11.0580894,45.3782736,-3.62109456,-3.77006364,-22.2594183,20,2,Forward fall when trying to sit down
-0.402,1.076,-2.518,-245.1687282,6.875496,24.1788276,-6.1306506,-3.71276784,-22.0015872,20,2,Forward fall when trying to sit down
-0.546,1.952,-2.886,-181.914165,-2.4637194,-16.902261,-7.9641162,-3.77579322,-22.1448267,20,2,Forward fall when trying to sit down
-0.159,2.715,-2.816,-98.4914802,-7.8495246,-41.5967508,-8.9381448,-3.9247623,-22.53443814,20,2,Forward fall when trying to sit down
-0.031,-0.785,-0.233,3.0939732,-0.1718874,-0.4010706,59.82254478,0.20626488,-24.37363332,20,3,Forward fall when trying to sit down
-0.05,-0.787,-0.235,4.1825934,2.2345362,-0.9167328,59.90848848,0.2005353,-24.35644458,20,3,Forward fall when trying to sit down
-0.054,-0.792,-0.256,4.6409598,4.0680018,-1.2605076,59.95432512,0.23491278,-24.3220671,20,3,Forward fall when trying to sit down
-0.041,-0.805,-0.274,4.8128472,6.302538,-1.718874,60.00589134,0.28074942,-24.27623046,20,3,Forward fall when trying to sit down
-0.02,-0.808,-0.281,5.2139178,7.7922288,-2.1772404,60.05745756,0.33804522,-24.21893466,20,3,Forward fall when trying to sit down
-0.005,-0.78,-0.257,8.6516658,7.734933,-1.4896908,60.14340126,0.38388186,-24.16163886,20,3,Forward fall when trying to sit down
-0.006,-0.77,-0.253,11.9175264,8.9954406,0,60.28664076,0.42398892,-24.08142474,20,3,Forward fall when trying to sit down
-0.012,-0.776,-0.263,14.2093584,11.745639,1.0886202,60.42988026,0.47555514,-23.97256272,20,3,Forward fall when trying to sit down
-0.011,-0.788,-0.239,16.6730778,11.45916,1.0313244,60.60176766,0.52139178,-23.8637007,20,3,Forward fall when trying to sit down
0.001,-0.779,-0.187,21.9442914,7.2192708,0.3437748,60.82522128,0.55003968,-23.79494574,20,3,Forward fall when trying to sit down
0.017,-0.762,-0.132,26.9863218,3.4950438,0.2291832,61.09451154,0.56722842,-23.76629784,20,3,Forward fall when trying to sit down
0.022,-0.767,-0.07,30.8251404,2.7501984,1.0886202,61.4497455,0.57868758,-23.73192036,20,3,Forward fall when trying to sit down
0.01,-0.8,-0.028,34.8931422,2.6356068,1.718874,61.79924988,0.57868758,-23.69754288,20,3,Forward fall when trying to sit down
0.006,-0.824,0.007,39.7059894,3.0366774,1.718874,62.20605006,0.58441716,-23.6631654,20,3,Forward fall when trying to sit down
0.01,-0.839,0.01,42.5707794,6.589017,2.0626488,62.63576856,0.59587632,-23.58868086,20,3,Forward fall when trying to sit down
0,-0.832,0.014,46.4668938,10.599723,3.8961144,63.1113237,0.61306506,-23.47408926,20,3,Forward fall when trying to sit down
-0.035,-0.834,0.046,51.6808116,11.8602306,6.9900876,63.66709296,0.6016059,-23.33084976,20,3,Forward fall when trying to sit down
-0.059,-0.855,0.044,53.858052,12.4331886,9.3392154,64.21713264,0.57868758,-23.1761511,20,3,Forward fall when trying to sit down
-0.058,-0.853,0.031,55.2331512,12.891555,10.7716104,64.7729019,0.53858052,-23.00999328,20,3,Forward fall when trying to sit down
-0.049,-0.838,0.032,57.7541664,12.3758928,11.6310474,65.36304864,0.4870143,-22.84383546,20,3,Forward fall when trying to sit down
-0.028,-0.809,0.025,59.9314068,11.0580894,12.0894138,65.97038412,0.4297185,-22.6891368,20,3,Forward fall when trying to sit down
-0.005,-0.77,0.044,64.2285918,9.3965112,12.1467096,66.64647456,0.36096354,-22.55162688,20,3,Forward fall when trying to sit down
0.009,-0.721,0.063,67.7236356,7.2765666,12.032118,67.33402416,0.286479,-22.4313057,20,3,Forward fall when trying to sit down
0.016,-0.67,0.099,71.1040878,5.6722842,12.5477802,68.05595124,0.19480572,-22.32817326,20,3,Forward fall when trying to sit down
0.012,-0.643,0.138,73.625103,1.8334656,13.5791046,68.80079664,0.0859437,-22.25368872,20,3,Forward fall when trying to sit down
0.011,-0.63,0.118,74.0261736,-2.8074942,14.32395,69.55137162,-0.04010706,-22.22504082,20,3,Forward fall when trying to sit down
-0.016,-0.599,0.078,77.8649922,-5.2712136,14.7823164,70.3592424,-0.18907614,-22.21931124,20,3,Forward fall when trying to sit down
-0.081,-0.604,0.101,79.4692746,-2.291832,14.4958374,71.16711318,-0.32658606,-22.18493376,20,3,Forward fall when trying to sit down
-0.082,-0.667,0.116,72.3645954,2.0626488,13.0634424,71.90049942,-0.43544808,-22.1161788,20,3,Forward fall when trying to sit down
-0.073,-0.794,0.17,65.603691,3.0366774,12.032118,72.5651307,-0.53285094,-22.04742384,20,3,Forward fall when trying to sit down
-0.086,-0.978,0.154,56.0925882,3.4950438,12.891555,73.13235912,-0.64171296,-21.9729393,20,3,Forward fall when trying to sit down
-0.106,-1.102,0.151,47.3836266,4.4117766,13.9228794,73.64802132,-0.76203414,-21.8869956,20,3,Forward fall when trying to sit down
-0.095,-1.189,0.153,42.4561878,3.8388186,14.3812458,74.07773982,-0.8880849,-21.80678148,20,3,Forward fall when trying to sit down
-0.086,-1.197,0.121,24.5226024,-0.8021412,14.1520626,74.32411176,-1.01986524,-21.772404,20,3,Forward fall when trying to sit down
